timestamp,date,price_usd,volume_usd,market_cap_usd,source,fetch_timestamp
2025-09-08 17:01:05.734,2025-09-08,112045.71769353836,26973898736.619606,2230266214548.3535,coingecko,2025-09-19 00:47:53.002229
2025-09-08 18:01:59.697,2025-09-08,112019.40012143513,28051676353.453552,2231617421971.3765,coingecko,2025-09-19 00:47:53.002229
2025-09-08 19:02:32.891,2025-09-08,112071.36935811849,28753634662.115593,2232234541111.0664,coingecko,2025-09-19 00:47:53.002229
2025-09-08 20:01:22.509,2025-09-08,112024.44759077854,28815570715.281376,2231080691826.9136,coingecko,2025-09-19 00:47:53.002229
2025-09-08 21:02:36.256,2025-09-08,111996.26686941311,31034974436.0205,2234434970070.936,coingecko,2025-09-19 00:47:53.002229
2025-09-08 22:02:18.876,2025-09-08,112489.14407785248,32829126346.94566,2240299646985.959,coingecko,2025-09-19 00:47:53.002229
2025-09-08 23:04:02.848,2025-09-08,112601.63757963854,34512590778.7366,2243223351965.3677,coingecko,2025-09-19 00:47:53.002229
2025-09-09 00:02:50.366,2025-09-09,112434.7369592822,35280246316.75314,2239429185995.4136,coingecko,2025-09-19 00:47:53.002229
2025-09-09 01:01:44.037,2025-09-09,112206.36301124805,35654370162.469406,2234382365241.899,coingecko,2025-09-19 00:47:53.002229
2025-09-09 02:02:46.056,2025-09-09,112456.23416521978,36065437915.983536,2239855721488.9697,coingecko,2025-09-19 00:47:53.002229
2025-09-09 03:02:28.143,2025-09-09,112067.347001549,36462958354.82013,2232157976434.644,coingecko,2025-09-19 00:47:53.002229
2025-09-09 04:02:48.021,2025-09-09,112025.1685727209,36622800327.520905,2229989913291.328,coingecko,2025-09-19 00:47:53.002229
2025-09-09 05:02:49.617,2025-09-09,112273.04214360457,37435716033.792336,2236265680720.529,coingecko,2025-09-19 00:47:53.002229
2025-09-09 06:02:34.306,2025-09-09,112223.03656606357,37455213029.59858,2235157728344.891,coingecko,2025-09-19 00:47:53.002229
2025-09-09 07:00:42.077,2025-09-09,112025.12878118771,37159847899.8603,2231763512226.867,coingecko,2025-09-19 00:47:53.002229
2025-09-09 08:02:25.940,2025-09-09,111652.0713866927,37397075617.940674,2223921193215.7153,coingecko,2025-09-19 00:47:53.002229
2025-09-09 09:00:32.178,2025-09-09,111407.09074159958,37649577071.57709,2219402478359.0503,coingecko,2025-09-19 00:47:53.002229
2025-09-09 10:02:49.021,2025-09-09,111287.14885295804,38290383173.37138,2216872957725.678,coingecko,2025-09-19 00:47:53.002229
2025-09-09 11:02:39.597,2025-09-09,111702.97471470888,37921869431.4049,2224210973700.837,coingecko,2025-09-19 00:47:53.002229
2025-09-09 12:02:26.616,2025-09-09,112028.60805847727,38533245274.096085,2227896450626.2056,coingecko,2025-09-19 00:47:53.002229
2025-09-09 13:01:56.217,2025-09-09,112140.77309366502,39136969373.14936,2232649720471.2764,coingecko,2025-09-19 00:47:53.002229
2025-09-09 14:02:58.293,2025-09-09,113112.94201935548,41121725757.800415,2250069689814.452,coingecko,2025-09-19 00:47:53.002229
2025-09-09 15:02:03.129,2025-09-09,113070.31854691613,42320796290.59368,2250861688201.6816,coingecko,2025-09-19 00:47:53.002229
